iq,cgpa,10th_marks,12th_marks,communication_skills,placed
99,6.46,100,81.51,6.1,1
92,8.36,65.69,76.68,5.9,0
106,7.9,60.77,67.12,7.8,1
99,7.89,77.55,85.89,6.8,0
117,7.07,64.82,65.11,8,1
102,7.95,80.46,84.52,3.2,0
102,7.24,87.49,64.53,5.7,1
95,8.06,94.94,67.27,7.8,0
99,5.6,82.01,84.1,6.5,1
105,7.07,78.07,85.37,8.3,0
74,9.22,60.22,82.17,4.3,1
80,6.73,80.26,62.4,8.1,0
111,6.9,80.71,69.64,6,1
103,7.05,86.39,76.88,5.9,0
97,6.29,72.92,64.81,8.5,0
100,5.29,75.65,91.45,8.7,0
105,7.27,65.22,46.18,8.6,1
92,7.64,57.09,65.66,10,0
88,7.45,68.92,68.89,8.9,1
103,7.36,64.3,40.87,5.8,1
85,7.54,83.37,58.25,7.2,1
106,8.52,74.82,82.5,6.5,1
74,7.31,74.62,75.36,10,0
115,6.93,70.16,93.88,8.7,1
107,7.22,47.67,93.54,6.7,1
104,8.08,95.08,80.2,8.3,1
115,8.91,70,78.76,5.2,0
125,6.87,75.88,75.79,7.4,1
115,7.6,65.45,43.14,5.6,0
72,7.84,89.72,58.27,4.5,0
81,6.51,81.43,76.21,8.2,0
91,7.52,71.74,82.39,8.4,0
100,6.03,76.08,78.48,7.7,0
108,5.73,96.78,64.29,6.7,1
89,7.87,79.27,86.25,5.1,0
103,7.12,78.18,92.79,5.3,0
89,7.7,70.59,86.26,5.5,1
91,7.48,61.05,86.88,6.6,0
79,6.52,78.4,68.29,8.6,0
86,7.45,83.25,87.91,8.6,1
80,6.27,91,76.75,4.5,1
85,8.89,57.52,81.14,6,0
116,6.14,68.75,79.39,5.9,1
86,7.3,74.19,73.54,3.2,1
139,6.46,79.97,64.68,7.8,0
107,8.07,78.55,74.01,6.6,0
103,7.17,78.78,86.84,6.8,0
87,6.98,84.08,69.7,9,0
111,8.35,70.97,85.72,7.1,0
91,7.53,89.34,83.84,6.4,0
102,8.02,84.33,71.41,7.9,1
138,6.52,76.8,91.67,8.6,1
99,6.1,96.01,70.73,7.4,0
117,7.61,95.56,93.11,8,1
89,7.18,89.33,80.21,6.8,1
99,8.13,49.81,74.81,6.9,1
127,7.42,95.79,64.35,7.2,1
91,7.71,87.95,73.94,5.9,0
127,5.88,100,72.55,6.1,0
111,9.39,92.37,59.9,9.1,0
92,7.34,95.78,72.39,10,1
109,8.2,88.79,65.35,9.4,1
115,6.66,93.49,82.03,5,1
109,7.81,99.94,90.68,4.9,1
76,6.2,82.17,60.28,5.2,0
89,7.95,64.28,95.55,7.2,0
96,7.14,76.93,73.46,2.8,1
99,7.53,83.9,63.3,6.1,1
109,8.2,80.75,84.09,9.1,1
103,6.27,67.53,69.64,8.5,1
80,6.82,63.69,74.02,6.2,0
106,7.96,72.59,70.15,6.3,0
109,9.6,88.08,65.2,7.9,0
108,7.36,95.8,83.69,8.4,1
116,8.09,89.17,71.56,6.2,1
113,7.39,90.57,57.76,6.6,1
107,9.44,79.19,81.61,6.2,1
99,5.75,62.58,60.53,5,0
75,7.59,75.45,61.16,6.7,0
106,5.87,77.41,89.31,6.6,0
103,4.99,75.03,60.64,5.1,1
104,7.8,80.55,47.2,8,0
81,7.64,84.41,82.47,7.7,1
84,7.22,88.53,71.35,8,1
116,7.39,77.22,72.39,5.8,1
99,10,60.96,71.23,4,1
110,7.24,75.17,77.78,7.7,0
100,8.01,80.44,65.97,6,0
100,6.85,92.23,92.71,5.7,1
114,7.8,74.32,57.29,5.1,1
92,7.26,85.13,80.34,6.6,1
101,7.09,82.9,82.71,9.4,1
93,9.32,80.44,65.88,6.2,1
93,8.68,89.31,62.72,5.4,0
95,7.64,73.39,87.21,8,1
103,5.2,74.25,63.11,7.3,0
93,7.14,79.88,67.72,3.8,0
119,10,73.6,85.65,8,1
87,7.27,85.08,75.42,10,1
97,8.6,72.87,53.43,3.1,0
93,8.94,82.26,95.96,5.1,1
122,7.72,79,68.64,2.7,1
103,6.66,82.15,70.17,6.9,0
115,5.06,75.4,78.07,8.5,1
78,8.18,76.61,82.5,7.2,0
104,6.69,80.96,98.53,9.1,1
113,7.68,82.02,55.08,8.2,0
101,6.25,79.96,84.91,9.6,1
116,7.23,97.05,83.92,8.7,1
92,7.53,70.09,73.35,6.4,1
121,7.77,79.36,84.45,7.1,1
134,6.39,64.26,86.21,5.7,0
95,8.7,83.72,58.42,6.7,0
93,6.9,68.85,96,7.1,1
122,5.83,77.22,56.29,6.9,1
124,7.39,76.28,61.38,9,1
92,7.53,82.81,71.86,6.5,0
94,7.66,74.47,98.1,5.6,1
96,8.86,74.05,71.3,5.7,1
80,7.26,94.36,74.62,8,0
86,7.38,82.85,92.18,4.9,1
85,6.4,74.39,71.4,6.7,1
88,8.32,77.49,60.86,9,1
99,7.68,96.45,69.99,7.4,0
104,7.08,77.65,91.45,6.9,1
123,5.6,73.11,75.85,6.9,0
85,8.94,73.15,98.17,5.5,1
115,6.27,74.51,83.86,5.7,1
97,6.91,74.06,67.26,6.7,0
99,7.86,67.2,75.61,7.4,1
110,6.3,68.76,64.76,8.4,1
83,6.01,71.71,66.98,7.1,0
106,5.38,85.92,100,9,1
102,8.22,76.19,87.22,9.4,0
107,6.95,77.93,85.33,8.2,1
104,10,92.7,67.52,8.8,1
137,6.51,92.95,93.84,5.5,1
90,6.58,77.18,88.19,5.3,0
92,6.93,73.69,97.58,7.8,0
91,7.74,71.36,97,5,0
92,7.03,86.93,57.25,6.6,1
90,8.11,77.95,61.68,8.2,1
118,6.52,76.14,62.95,9.1,1
121,6.12,71.86,63.67,6.6,0
91,5.7,72.3,78.88,6,0
88,5.28,83.2,68.2,7.5,1
107,6.98,66.85,99.87,5.4,0
92,7.2,89.95,97.86,6.7,0
109,6.87,74.66,74.92,7,1
103,8.74,78.5,98.46,7,1
77,8.73,66.63,92.86,7.1,1
123,7.17,79.88,69.59,5.7,0
127,5.71,76.72,50.89,5.9,1
91,6.93,79.5,72.38,5.9,1
94,6.9,94.72,67.26,4.6,0
104,6.84,81.78,77.48,7.5,0
105,6.8,72.05,76.07,8.3,1
110,6.85,72.89,75.76,8.2,1
130,7.11,85.95,81.28,6.6,1
97,6.86,92.99,60.45,5.8,0
88,7.71,82.82,79.94,8.1,0
79,7.86,86.89,69.72,8,0
89,6.59,86.1,77.4,7.3,1
100,8.77,94.19,86.49,9.6,1
127,6.52,60.5,60.31,7,1
92,5.88,86.67,71.62,6.6,0
103,7.88,89.84,73.58,6.4,1
100,6.68,66.61,68.83,4.7,0
118,7.82,71.14,85.8,8,1
138,5.1,71.49,66.36,6.8,1
92,8.89,72.71,68.34,7.8,0
93,8.17,75.18,66.48,9.8,1
116,6,82.43,88.1,6.4,0
110,6.02,88.66,69.09,3.5,1
128,9.17,90.81,80.52,7.7,1
109,6.76,71.62,98.71,7.3,1
95,6.67,71.55,74.1,5.9,0
109,5.23,93.16,88.34,7.6,0
117,7.15,86.47,95.06,8.2,1
112,7.27,80.83,87.33,5.6,1
108,8.22,84.73,74.8,6.5,0
116,6.1,79.7,82.71,9.2,1
118,5.98,85.25,59.55,5.9,0
121,7.95,76.64,65.64,7.1,0
110,8.51,82.69,67.74,3.1,0
97,5.93,64.89,100,4.8,0
102,8.58,73.12,65.25,7.2,1
118,7.54,73.23,65.07,8.8,1
88,8.59,76.26,62.47,5,1
106,7.43,70.73,81.72,7.1,1
94,4.98,74.66,76.71,6.4,0
100,7.35,64.86,88.04,8.4,1
119,8.56,85.49,83.06,5.2,0
103,6.61,79.17,58.44,7.6,0
101,7.11,62.95,65.31,6,1
80,7.32,71.65,91.38,7.3,1
111,4.6,83.37,72.56,7.1,1
110,9.17,74.57,89.25,6.6,1
132,6.6,73.03,73.2,7.7,1
95,8.01,79.25,63.39,7.1,1
103,7.41,83.44,71.36,6.8,0
104,8.76,65.64,63.38,6.5,0
124,7.91,85.5,68.21,7.1,1
99,7.27,72,77.41,7.3,1
104,6.61,79.82,81.14,5.5,0
109,8.3,79.65,55.92,6.5,1
103,5.63,74.73,74.79,5.4,1
93,8.15,69.76,67.96,6.9,0
103,6.4,77.14,67.22,6.1,0
116,8.75,96.25,76.59,8.2,0
85,7.66,66.38,68.39,8,1
102,8.14,96.92,91.59,5.6,1
89,7.58,77.4,89.26,7,1
118,5.75,80.35,89.18,8,0
77,6.64,69.13,69.06,6.7,1
92,8.17,72.29,63.45,5.9,1
106,7.67,74.97,75.98,5.4,0
123,8.68,69.54,73.2,8.3,0
99,7.9,77.91,67.69,8.4,0
92,6.53,75.93,60.89,6.7,1
128,6.7,98.51,74.5,8.1,1
78,7.6,68.34,70.15,2.6,0
70,5.19,81.03,83.26,9,0
107,9.17,82.48,82.98,6.8,1
92,7.94,69.3,88.21,7.2,1
85,8.73,86.87,59.89,6.5,0
111,5.92,76.02,79.81,9.1,1
104,8.74,55.08,66.27,5.4,0
92,9.73,86.6,60.36,9.2,1
81,6.18,68.83,69.86,7.6,0
113,8.27,69.52,87.82,7.9,0
110,7.5,86.88,70.53,6.5,1
99,5.96,76.53,93.79,5,0
128,7.99,89.18,81.59,8.4,1
84,8.33,92.1,70.27,7.5,1
77,6.9,73.55,88.92,9,0
90,8.67,87.93,80.34,6.7,0
99,5.83,72.45,63.81,6.4,0
104,6.01,100,97.31,9.1,1
96,7.64,73.07,78.11,9.9,1
105,7.53,90.26,75.23,7,0
81,6.78,88.44,64.73,5.9,1
122,8.31,83.16,89.15,8.2,0
99,8.03,73.29,81.21,6.6,1
117,8.36,78.49,82.55,7.9,0
105,7.38,58.46,68.91,6.6,0
107,8.1,82.24,85.01,9.3,1
109,7.05,83.5,85.94,6,0
107,9.55,81.33,66.97,7.7,1
110,6.69,50.27,58,6.3,1
120,9.61,67.34,81.98,6.6,1
103,7.53,72.52,56.12,6.4,0
111,6.12,82.92,76.82,8.1,1
99,8.87,82.89,69.63,8.4,1
122,7.63,78.3,89.62,7.8,1
90,8.35,86.35,70.29,6.8,1
127,8.72,69.74,88.29,7.2,1
99,7.84,86.1,68.83,8.3,1
79,6.91,84.75,87,8.4,0
102,8.48,83.78,99.72,3,0
90,7.5,78.18,62.18,6.6,0
113,8.19,98.31,78.5,6.7,1
90,5.35,84.93,100,8,1
93,7.95,70.32,75.8,6.9,0
72,6.86,82.48,75.74,8.1,0
93,9.15,87.52,84.46,5.4,1
70,8.12,74.12,75.49,7.4,0
76,7.74,90.89,54.51,8.4,1
111,7.99,83.82,88.59,4.8,1
112,6.5,56.58,50.96,10,0
106,9.12,83,70,8.8,1
85,9.49,75.94,89.49,7,1
99,7.89,85.37,70.72,5.8,1
100,9.09,89.44,66.68,6.7,1
83,6.93,81.95,85.55,7.1,0
123,6.7,96.65,64.79,7.7,1
113,7.54,78.21,60.33,9.3,0
97,7.93,86.25,78.29,6.3,0
100,7.11,88.05,72.8,7.8,1
103,8.04,79.03,60.08,5.1,1
70,7.81,87.79,82.64,6.4,1
96,6.5,74.05,80.57,7.6,0
90,8.02,75.77,70.68,8,1
85,8.36,66.88,71.5,5.9,1
96,7.67,82.41,80.64,6.3,1
127,8.65,83.25,89.28,9.2,1
110,6.28,91.79,71.61,8.7,0
91,7.97,87.91,82.86,7.3,0
109,6.33,77.15,81.78,3.6,0
121,6.39,68.22,85.55,10,1
114,6.87,84.33,75.47,7,0
101,6.56,91.11,64.05,6.5,1
90,6.95,87.55,69.45,6.2,0
110,7.29,90.84,79.11,7.6,1
106,8.34,77.88,96.82,7.6,1
113,7.18,75.33,69.19,8.4,1
110,5.91,72.63,84.66,5.6,0
116,8.64,79.44,71.06,6.5,1
92,6.66,79.21,76.33,10,1
120,7.44,82.07,93.18,7.3,0
103,7.95,78.71,84.17,6.7,1
131,7.7,78.66,60.1,5.6,0
90,8.59,72.23,68.13,7.8,0
126,7.98,89.42,90.07,8.5,1
103,6.64,80.77,76.7,8.3,1
90,9.68,78.26,61.21,6.6,0
93,7.69,72.53,65.17,7.5,0
95,7.35,66.68,83.44,9.5,1
106,8.46,93.08,86.93,8.6,1
108,7.75,85.55,75.21,5.8,1
91,7.9,63.76,100,3.2,0
100,9.99,87.63,84.89,7.4,1
132,7.22,89.22,72.08,8.2,0
126,7.18,81.24,65.21,5.4,0
107,7.62,95.98,63.3,7,0
101,8.57,82.17,79.03,6.6,0
102,5.99,65.83,69.13,7.2,1
109,5.53,83.65,95.08,6.2,1
85,6.91,82.45,92.6,8.9,0
96,5.87,73.97,82.6,7.2,1
75,7.08,85.74,60.85,5.7,1
106,8,63.32,66.93,8.4,0
110,6.61,89.91,90.07,5.1,1
93,6.07,71.22,68.24,8.9,0
124,7.57,70.15,88.47,8.5,1
82,8.36,78.86,80.7,9.1,1
78,5.81,84.33,75.62,6.8,0
103,8.32,81.64,66.57,6.3,0
116,8.32,72.57,73.87,7.1,0
125,8.45,74.94,77.28,6.9,1
93,8.72,68.67,87.39,6,1
116,9.7,77.75,64.37,6.2,0
99,7.14,90.75,71.85,6.5,1
97,7.61,79.96,75.54,5.2,1
113,7.08,88.59,82.95,8,1
110,7.5,94.55,64.1,6.9,1
76,9.03,74.12,59.2,6.5,1
122,6.15,78.13,83.09,5.3,1
121,6.64,100,56.78,5.3,0
91,8.88,94.44,90.42,9.9,1
106,8.52,63.28,73.13,6.1,0
107,7.14,83.87,56.43,7.9,1
104,8.35,80.01,69.23,7.2,1
92,7.84,88.26,79.55,2.8,1
90,9,72.55,68.61,9.7,0
100,7.57,71.6,75.24,8,1
118,8.53,73.24,83.88,5.8,1
108,10,74.28,72.57,7,1
94,8.1,88.15,63.76,5.3,0
112,7.55,68.19,71.41,9.7,1
70,8.22,73.77,91.98,5.6,1
117,7.13,62.11,95.22,6.2,1
74,9.89,90.07,50.76,5.9,0
95,7.68,92.71,88.09,7.1,1
83,7.23,76.73,78,9.1,0
81,6.66,77.02,86.09,9.7,0
117,8.6,84.53,68.39,6.4,0
93,8.37,94.74,53.78,7.6,1
105,7,84.09,82.01,7.1,1
99,8.08,73.02,63.71,5.5,0
107,5.99,63.81,58.34,10,1
101,7.68,68.85,59.18,9,1
81,7.95,80.73,82.21,7.3,1
115,9.21,73.45,76.67,9.4,0
93,6.73,81.95,84.39,8.8,1
77,6.22,74.47,83.03,7.1,1
94,6.6,69.42,69.95,7.5,0
123,6.16,68.23,74.15,9.3,1
113,8.84,95.62,68.86,5.6,0
95,9.05,88.89,72.48,9.5,1
95,7.82,97.31,63.39,6.7,0
95,8.72,85.4,79.69,9.3,1
131,7.63,75.7,87.9,7,0
106,7.4,93.23,65.2,7.5,0
106,7.17,79.67,90.38,6.9,0
115,7.19,82.21,76.36,6.2,0
104,5.95,79.57,77.89,6.6,1
96,7.76,50.53,54.61,9.1,0
97,7.46,96.05,53.31,3.5,0
99,8.25,84.91,76.73,5.1,0
99,7.59,83.3,84.48,5.9,0
111,7.34,79.38,66.94,5.4,1
101,6.63,81.63,95.04,9.3,1
111,7.57,74.03,83.82,8.9,1
99,8.24,86.17,64.1,7.9,0
101,6.36,66.93,75.37,6,1
70,7.59,81.86,100,9,1
114,7.73,85.62,60.09,4.6,0
105,6.78,78.01,81.34,10,0
115,6.91,83.71,71.13,6,0
70,7.73,70.09,83.48,6.6,0
131,6.37,70.34,90.21,6.4,0
98,7.85,82.37,70.37,5.4,0
117,6.6,86.79,88.43,9.9,1
84,8.56,61.25,100,8.2,0
109,9.84,85.22,75.8,8.8,0
84,6.64,74.57,84.42,5.2,0
91,8.03,78.07,67.91,7.3,0
129,6.77,66.6,75.23,7.8,1
97,8.54,71.48,72.88,7.4,1
103,6.23,89.66,84.56,5.3,0
113,7.98,80.33,89.46,8.6,1
107,6.63,76.17,73.68,7.2,0
102,7.29,78.84,93.4,5.6,1
105,6.47,84.89,93.36,4.2,0
136,8.32,84.4,85.16,7.9,1
99,6.66,79.25,68.81,10,0
103,8.05,90.93,67.66,5.5,1
116,7.16,89.7,65.25,7.3,1
117,7.39,84.13,86.39,8.7,1
118,7.65,80.55,60.46,5.1,0
110,6.74,86.57,83.12,6.3,1
83,7.71,83.14,62.03,5.7,1
125,9.03,90.61,84.88,8.5,1
83,6.72,89,75.21,9,0
105,8.67,69.82,91,7.2,0
89,9,69.14,88.7,5.7,0
99,6.68,72.99,92.22,6.3,0
105,6.04,89.76,92.53,6.1,1
105,7.8,64.24,76.72,5.5,0
106,6.95,83.95,61.09,6.8,1
124,9.37,83.63,62.37,7.9,1
107,7.53,91.63,49.96,7.7,1
96,6.7,81.8,62,7,1
114,6.35,66.57,75.83,7.1,1
118,8.59,70.41,68.28,6.9,1
82,6.93,68.18,72.84,5.1,1
109,7.54,74.62,80.91,7.2,1
111,8.46,78.17,71.35,6.1,0
96,7.02,68.35,61.54,5,1
121,7.45,94.71,74.36,7.6,1
98,7.48,66.75,64.22,6.1,1
102,8.18,93.46,71.75,7.3,1
97,8.09,91.85,91.11,8.3,1
100,7.28,88.98,71.75,5.6,0
84,7.56,73.06,96.25,7.1,0
78,7.13,83.42,92.18,4.3,1
124,6.02,67.23,68.05,9.3,1
87,7.76,89.11,61.67,5,1
85,9.39,79.26,74.37,6.2,0
70,6.62,75.91,88.84,9,0
90,6.73,67.76,69.12,6.6,1
80,6.63,55.22,85.9,5.2,1
125,8.22,69.61,89.5,8.1,1
115,7.95,91.13,65.71,8,1
90,7.34,75.97,66.89,6.1,0
134,6.58,78.31,83.55,6.2,1
115,7.59,86.56,76.82,6.3,1
95,5.94,98.06,66.77,6.7,1
70,7.64,93.25,70.77,4.2,1
134,8.37,70.28,74.15,6.7,1
79,6.25,60.57,56.22,9.7,0
75,5.97,100,84.19,5.7,1
115,9.08,100,69.26,6.1,1
137,6.89,81.88,41.6,5.2,0
121,8.64,67.3,74.71,7.9,1
108,7.35,89.63,66.1,8.8,1
109,7.34,78.92,95.27,8.8,1
113,7.94,78.87,67.97,5.1,0
111,6.62,88.94,61.83,7.7,1
104,7.63,83.34,81.1,9.2,0
102,7.12,68.14,67.07,7.8,1
99,6.18,76.75,65.65,7.7,1
89,7.84,86.61,81.11,6.3,0
96,7.24,85.1,62.51,7.3,0
75,7.34,82.62,57.51,8.9,0
99,6.29,89.33,95.71,7.5,1
85,9.09,76.38,81.95,5.1,1
83,8.38,81.79,71.83,6.3,0
103,8.46,46.24,74.96,8.8,1
121,7.19,75.5,81.07,7.5,1
114,5.77,87.64,86.68,7.2,1
76,9.45,76.1,65.93,6.2,1
85,7.44,75.34,79.39,8.8,1
114,6.75,69.59,68.92,9.5,0
85,7.92,90.03,72.73,8.9,0
97,8.67,85.48,76.93,9.2,0
108,7.48,88.25,74.92,6.5,0
85,8.78,62.74,83.83,6.2,1
102,8.58,78.4,80.85,6.8,1
80,6.42,77.2,56.9,7.1,0
91,6.83,77.19,58.71,9.1,0
105,8.46,73.84,70.56,8.7,1
76,4.79,76.54,96.94,7.8,0
107,7.35,88.5,64.78,4.9,1
100,6.07,60.87,72.5,4.5,0
108,7.02,97.77,68.56,7.4,1
103,7.2,84.84,68.35,8.3,1
120,7.14,79.58,77.14,6.9,0
102,6.95,89.07,91.81,9.9,1
94,6.4,65.48,80.47,5.4,0
102,9.79,73.35,65.36,5.2,1
108,9.37,78.79,100,6,0
101,6.34,93.66,75.94,5.9,0
101,9.08,79.54,68.07,7.8,0
89,7.1,84.5,91.95,6.4,1
90,7.63,74.1,69.37,4.7,0
79,7.44,84.87,94.95,8.3,0
126,6.84,96.77,64.55,4.4,1
81,8.48,89.96,92.16,5.4,1
90,7.63,79.19,77.41,4.6,1
89,7.02,86.75,90.49,7.3,1
113,6.2,85.78,97.82,7.3,1
96,6.61,85.07,61.41,9.9,0
119,5.86,91.12,90.31,8.4,1
90,7.51,91.04,58.09,9.2,0
104,6.3,78.73,62.43,7.4,0
87,7.23,86.42,65.36,5.5,0
132,8.87,76.17,81.04,7.2,1
82,8.7,70.77,75.4,7.9,0
105,7.47,77.31,72.99,8.1,1
110,7.41,79.24,76.75,6.3,1
106,9.38,63.38,82.1,7.7,1
97,8.02,88.6,83.02,5.6,0
98,7.17,52.33,88.13,5.4,0
101,6.07,100,96.84,5.3,1
98,7.89,95.02,74.74,7,1
114,8.33,77.39,68.75,5.2,1
133,6.87,80.09,82.36,6.4,0
92,7.79,83.03,61.27,8.4,0
79,7.14,74.11,66.86,5.5,1
99,7.32,81.93,86.99,6.2,1
139,5.01,78.56,73.51,7.1,1
88,7.28,79.06,60.5,7.4,0
125,8.47,81.81,57.12,6.3,1
125,6.87,66.86,75.58,8.2,0
92,7.55,80.4,88.7,7.9,1
109,6.74,81.63,88.54,8.7,0
124,7.86,81.29,76.33,6.9,1
94,7.28,77.84,99.11,6.2,0
97,6.56,91.38,73.74,6,0
91,8.83,76.46,73.34,7.5,1
85,8.43,82.27,44.19,6.4,0
90,6.9,92.97,69.63,6.1,1
82,8,79.21,85.22,6.3,1
101,8.04,82.14,93.77,6,1
88,8.14,79.04,65.04,7.3,1
104,5.81,92.37,80.55,4.9,1
77,8.51,77.42,87.56,7.5,0
105,6.93,92.83,75.13,8,1
113,7.14,78.96,47.6,6.1,1
70,10,71.41,77.97,9.9,0
106,7.8,86.79,84.14,7,0
118,7.11,76.95,63.63,4.7,1
82,5.29,86.21,71.95,6.6,1
125,8.89,52.71,61.13,7.1,1
106,6.15,80.05,44.16,7.7,1
89,6.5,75.4,87.32,6.6,0
99,7.17,69.37,74.96,5.5,1
108,8.92,74.47,94.17,5.4,1
101,8.27,74.26,85.29,6,0
108,7.34,79.52,70.75,6.2,0
86,7.81,66.33,74,5.3,1
103,6.9,83.16,81.79,5.9,0
79,7.64,93.66,86.6,8,0
98,7.57,82.81,78.87,9.5,1
86,8.47,88.09,88.27,8.1,0
89,8.47,90.95,71.44,9,1
119,7.99,92.36,63.03,8.5,0
116,7.14,98.7,74.22,8.2,0
109,8.24,75.01,77.46,6.5,1
84,7.41,72.82,60.58,7.2,0
95,6.42,87.83,58.96,6.4,0
118,7.1,87.08,80.37,6.7,0
102,7.58,87.76,70.12,7.1,0
135,8.41,98.89,73.01,8.1,1
106,7.32,80.11,70.68,7.6,0
103,6.29,84.26,93.25,6.8,0
95,7.56,70.2,90.14,7.1,0
102,7.61,100,60.15,7.7,0
98,7.69,76.63,68.61,8,1
111,8.42,76.92,85.2,4.7,1
114,8.52,76.53,82.22,5.4,0
88,6.91,73.55,74.5,8.7,0
80,6.88,72.71,61.35,6.9,1
72,6.46,74.76,66.81,6.4,0
108,8.2,66.34,68.8,6.6,0
83,8.95,72.15,78.32,6.6,0
70,7.18,99.49,95.44,7.8,0
106,7.26,87.36,66.76,5.3,1
137,8.97,89.26,62.69,7,1
100,8.01,91.77,73.7,7.4,0
113,7.94,98.34,87.38,7.6,0
101,6.31,62.29,57.64,7.3,0
99,8.18,67.7,92.44,7.8,1
114,6.57,71.96,72.94,6.1,0
96,6.37,75.3,66.19,5.6,0
104,7.15,76.99,55.8,10,0
105,6.91,75.53,83.48,6.5,0
90,7.28,82.19,72.95,6.7,0
115,6.06,80.35,77.05,8,0
97,8.46,72.77,64.19,9.4,1
89,8.63,58.24,71.17,6.2,0
108,5.55,70.07,69.16,5.5,1
87,8.48,74.51,73.79,5.1,1
100,6.69,77.53,66.97,9.4,1
100,8.36,68.7,56.59,5.4,0
116,7.43,75.09,100,7,1
107,7.53,68.69,58.64,5.5,0
100,7.31,78.74,77.18,4.8,0
112,8.71,69.27,53.74,6.6,1
121,6.26,71.51,51.04,5.6,1
108,8.11,66.91,76.17,6,1
100,8.6,78.46,77.09,10,0
80,8.22,71.34,90.14,7.6,1
84,9.82,89.07,79.79,8.4,1
95,6.97,84.06,73.2,8.2,0
91,8.46,79.3,63.6,6.8,0
97,7.39,72.03,92.99,6.3,1
101,8.73,83.81,86.15,7.4,1
108,7.49,86.91,60.04,7.3,1
99,7.11,81.43,75.46,6.1,1
107,8.81,96.04,76.73,7.2,0
101,7.01,84.6,70.85,5.9,1
70,6.09,89.14,84.26,6.7,1
86,6.98,81.34,84.98,6.5,1
98,8.12,86.76,72.71,5.1,0
82,8.89,72.03,71.63,3.5,1
109,7.61,75.42,92.99,5.6,1
123,8.82,83.49,86.19,9.7,1
118,6.14,83.42,75.87,6.5,1
97,7.06,85.08,55.45,8.2,1
122,7.21,91,79.13,3.8,1
102,7.39,65.75,83.38,5.5,0
95,7.58,70.26,41.95,5,1
91,8.19,82.3,78.02,6.7,1
95,7.06,72.76,70,10,0
94,7.64,100,72.35,7.7,1
103,7.45,85.16,64.11,9.5,0
102,6.57,79.22,73.22,6.6,1
100,7.39,74.85,91.7,9,1
107,7.36,75.2,69.64,10,0
118,7.33,80.3,86.59,6.8,0
114,7.53,81.12,65.32,6.2,1
78,7.58,75.43,84.11,5,0
70,7.07,77.27,75.02,6.5,0
114,8.77,93.44,79.22,7.1,1
79,6.33,93.85,75.09,10,0
97,6.78,82.52,82.7,5.1,1
82,10,66.59,44.19,7.1,1
73,6.46,85.39,57.96,4.3,0
108,6.15,95.54,80,6.4,0
111,8.23,93.7,50.48,7.5,1
91,5.42,87.34,68.63,7.8,0
70,7.26,94.22,74.35,7.9,1
92,9.65,80.53,65.06,7.6,1
106,5.96,86.28,66.7,7.9,0
78,5.52,73.19,78.26,7.1,0
103,6,82.92,87.11,5.4,1
100,8.4,93.3,63.5,4.2,1
109,8.62,74.11,68.1,6.2,0
102,6.99,71.39,66.22,6.8,1
85,8.18,80.97,45.94,8.9,0
118,8.89,77.73,76.7,6.8,0
98,9.29,86.49,86.22,6.7,0
100,7.25,75.47,87.2,7.6,0
86,5.2,97.18,64.55,6.6,0
93,6.68,67.1,59.98,8.2,1
87,7.07,92.54,75.26,10,1
97,7.24,72.35,84.95,10,1
126,7.31,62.04,76.86,7.1,1
79,8.62,82.38,78.47,7.5,0
76,8.77,77.45,88.7,9.4,1
122,7.33,68.9,66.13,6.8,0
97,8.6,63.19,72.36,8,0
90,7.86,79.92,94.62,5.3,0
116,7.56,89.76,72.64,6.5,1
91,8.41,85.85,59.79,8.7,0
127,7.57,80.57,66.97,5.9,1
110,9.56,84.79,63.74,6.8,0
93,6.06,79.73,79.29,4.6,1
132,6.98,65.7,64.25,10,0
91,7.37,65.79,78.25,8.9,1
111,7.94,77.97,66.17,7.3,1
104,8.77,78.39,49.52,7.8,1
120,7.48,88.51,78.68,7.6,0
123,6.08,87.57,76.78,9.1,0
100,8.34,86.05,81.21,6.2,1
89,8.25,77.2,66.92,8.1,1
107,5.56,66.19,65.65,8.6,1
90,7.5,84.12,79.82,8.8,1
130,5.91,85.25,93.23,3.6,1
102,6.84,56.11,75.13,6.1,1
95,6.6,71.66,80.1,5.5,0
103,8.31,73.09,71.14,7.2,1
80,7.62,81.18,56.48,4,0
85,6.21,71.97,86.61,3.9,1
118,8.38,79.62,85.9,10,1
90,6.07,77.89,83.53,7.9,0
84,7.83,78.41,72.82,7.2,1
108,6.69,72.84,82.16,7.5,1
118,7.13,73.61,85.73,7.2,1
111,8,69.2,94.44,8.5,1
115,8.02,83.8,86.86,6.1,1
89,8.84,85.71,75.77,7.3,1
79,7.42,72.29,59.3,7.3,1
123,7.81,95.21,76.87,5.4,1
95,7.06,76.85,78.08,8.9,1
96,7.68,95.3,83.51,6.3,1
120,7.94,73.58,91.25,8.5,1
108,7.4,59.73,73.86,7.2,0
107,5.7,84.02,100,9.5,0
132,7.83,82.49,53.89,5.4,0
90,7.86,80.34,80.03,5.4,1
114,6.82,73.58,65.42,5.6,1
101,6.22,79.65,52.11,7.2,1
104,8.98,74.89,72.58,9.3,1
123,7.99,76.98,57.51,9.4,1
108,7.27,88.42,73.06,3.5,1
108,6.36,81.84,75.42,7.4,0
116,6.68,86.1,88.42,2.2,0
95,8.8,77.68,56.91,8.2,0
